vertices,edges,Density,Comparisons,Divisions,Additions,Solutions,Time,resposta,peso
56,192,12.5,97049710,0,33,0,21.58197808265686,"[27, 50, 35, 30, 12, 44, 24, 20, 18, 21, 14, 53, 6]",409
57,199,12.5,100184159,0,44,0,22.635984659194946,"[47, 21, 24, 29, 49, 6, 55, 38, 56, 34, 1, 44, 37]",413
58,206,12.5,131336603,0,184,0,28.60800051689148,"[17, 20, 15, 53, 35, 6, 25, 30, 50, 39, 22, 48, 14, 13, 27]",488
59,213,12.5,136759799,0,99,0,29.506000995635986,"[29, 26, 1, 47, 8, 49, 52, 53, 55, 22, 38, 44, 14, 20, 27]",414
60,221,12.5,108898678,0,21,0,24.34100365638733,"[8, 57, 41, 59, 21, 1, 19, 27, 14, 44, 38, 34, 28]",565
61,228,12.5,124048631,0,33,0,26.849003076553345,"[49, 58, 38, 22, 47, 18, 41, 42, 14, 26, 53, 6, 32, 36]",468
62,236,12.5,140556680,0,75,0,31.08700132369995,"[34, 21, 16, 40, 20, 43, 19, 55, 49, 1, 47, 6, 27, 60, 53]",558
63,244,12.5,142766878,0,54,0,30.959997415542603,"[51, 1, 56, 8, 13, 16, 10, 14, 27, 48, 47, 49, 44, 53, 6]",513
64,252,12.5,146544586,0,40,0,32.37100005149841,"[49, 17, 20, 24, 33, 44, 60, 38, 52, 14, 1, 4, 43, 48, 63]",537
65,260,12.5,150279513,0,29,0,33.07700228691101,"[14, 56, 55, 31, 13, 33, 18, 29, 8, 50, 16, 36, 17, 53, 63]",613
66,268,12.5,134013583,0,25,0,29.925003051757812,"[53, 1, 64, 18, 49, 8, 55, 42, 57, 21, 26, 38, 35, 13, 27, 5]",593
67,276,12.5,159745732,0,48,0,34.63199973106384,"[61, 47, 46, 49, 14, 13, 65, 44, 6, 10, 34, 8, 17, 21, 2]",488
68,284,12.5,174751761,0,87,0,38.371999979019165,"[53, 36, 39, 29, 21, 58, 63, 44, 2, 8, 38, 35, 18, 34, 48, 41]",520
69,293,12.5,158652564,0,32,0,34.77000021934509,"[29, 37, 66, 12, 58, 50, 22, 31, 62, 47, 34, 6, 26, 8, 61]",635
70,301,12.5,166336811,0,41,0,36.93499517440796,"[29, 26, 8, 2, 31, 68, 62, 44, 4, 23, 5, 32, 63, 39, 18]",576
71,310,12.5,166957202,0,48,0,36.557867765426636,"[70, 13, 27, 10, 44, 2, 21, 49, 17, 25, 60, 58, 50, 29, 48]",558
72,319,12.5,164448518,0,34,0,36.435991048812866,"[48, 8, 18, 3, 62, 35, 2, 4, 58, 52, 71, 22, 63, 39, 56]",649
73,328,12.5,168533719,0,45,0,36.94200301170349,"[51, 26, 71, 40, 27, 41, 45, 38, 50, 13, 2, 4, 37, 17, 49]",602
74,337,12.5,176195533,0,34,0,39.19499635696411,"[49, 72, 5, 48, 65, 15, 1, 42, 50, 38, 2, 6, 41, 68, 57, 31]",502
75,346,12.5,174650106,0,43,0,38.808002948760986,"[35, 39, 4, 66, 52, 60, 21, 2, 38, 70, 48, 61, 13, 50, 24]",603
76,356,12.5,223812717,0,173,0,48.66900086402893,"[16, 32, 24, 44, 71, 72, 63, 26, 30, 4, 27, 5, 60, 11, 75, 33, 38]",642
77,365,12.5,225246065,0,193,0,49.513561487197876,"[20, 58, 74, 1, 6, 49, 60, 44, 52, 42, 30, 67, 33, 29, 4, 53, 76]",584
78,375,12.5,205176728,0,54,0,45.49272131919861,"[63, 4, 34, 13, 8, 2, 29, 22, 32, 18, 24, 14, 20, 38, 73, 1]",495
79,385,12.5,206550277,0,65,0,45.60900092124939,"[13, 31, 71, 74, 29, 40, 28, 53, 75, 78, 63, 69, 44, 38, 26, 61]",609
80,395,12.5,218433968,0,47,0,48.425002574920654,"[0, 35, 25, 37, 32, 38, 50, 30, 24, 47, 9, 4, 71, 58, 15, 75]",638
81,405,12.5,198265951,0,35,0,44.41001534461975,"[3, 15, 49, 65, 38, 66, 44, 23, 50, 70, 34, 2, 41, 21, 26]",563
82,415,12.5,220665515,0,53,0,48.96898150444031,"[2, 53, 4, 49, 38, 18, 22, 42, 77, 60, 41, 68, 32, 17, 33, 3]",511
83,425,12.5,218667963,0,54,0,48.13500118255615,"[30, 72, 74, 29, 17, 42, 50, 44, 3, 56, 64, 61, 70, 38, 60, 78]",608
84,435,12.5,196022593,0,31,0,45.04200005531311,"[61, 73, 57, 13, 6, 8, 37, 42, 43, 21, 34, 72, 59, 38]",593
85,446,12.5,224385587,0,45,0,50.05800104141235,"[35, 24, 1, 38, 26, 50, 29, 4, 2, 20, 9, 58, 51, 75, 25, 60]",601
86,456,12.5,258257203,0,72,0,57.567991971969604,"[4, 50, 56, 26, 44, 83, 78, 15, 32, 77, 70, 75, 22, 20, 28, 39, 61]",582
87,467,12.5,261137155,0,76,0,58.02600932121277,"[72, 67, 61, 33, 53, 41, 26, 38, 29, 74, 63, 4, 34, 77, 43, 25, 30]",600
88,478,12.5,242167953,0,38,0,54.30399799346924,"[42, 0, 24, 36, 58, 18, 51, 48, 27, 30, 4, 83, 44, 26, 25, 41]",657
89,489,12.5,280790971,0,70,0,62.38400077819824,"[18, 58, 35, 29, 56, 77, 75, 60, 85, 12, 38, 1, 50, 55, 61, 26, 34]",658
90,500,12.5,239817583,0,36,0,54.70599389076233,"[58, 32, 8, 29, 23, 43, 37, 51, 6, 52, 70, 24, 50, 53, 22, 4]",763
91,511,12.5,268363715,0,66,0,59.90900254249573,"[24, 74, 70, 27, 41, 87, 18, 43, 37, 13, 22, 12, 14, 49, 51, 20, 38]",682
92,523,12.5,273696420,0,54,0,61.50500202178955,"[75, 44, 72, 74, 36, 41, 87, 23, 3, 40, 38, 48, 16, 34, 47, 1, 58]",616
93,534,12.5,281719952,0,56,0,63.17699885368347,"[29, 66, 44, 50, 61, 87, 38, 47, 21, 54, 77, 8, 85, 59, 80, 75, 42]",626
94,546,12.5,265718664,0,39,0,60.32098126411438,"[62, 76, 93, 57, 77, 36, 86, 50, 71, 83, 69, 54, 15, 3, 21, 89]",748
95,558,12.5,285754532,0,57,0,64.59700131416321,"[42, 44, 31, 88, 71, 70, 3, 39, 83, 22, 25, 20, 10, 36, 13, 90, 53]",653
96,570,12.5,314988894,0,113,0,70.64899921417236,"[72, 92, 55, 8, 59, 65, 73, 58, 41, 56, 38, 83, 37, 13, 44, 87, 20, 52]",694
97,582,12.5,267553545,0,37,0,61.45100426673889,"[53, 15, 70, 50, 37, 74, 38, 31, 83, 47, 96, 65, 10, 1, 17, 25]",581
98,594,12.5,278752330,0,35,0,63.65800070762634,"[60, 26, 24, 79, 2, 86, 38, 17, 30, 57, 72, 74, 53, 78, 82, 3]",699
99,606,12.5,304700008,0,49,0,69.61400580406189,"[83, 74, 49, 63, 96, 68, 1, 38, 17, 55, 48, 7, 78, 22, 52, 66, 34]",652
100,618,12.5,341791256,0,83,0,76.48000049591064,"[75, 98, 26, 53, 12, 88, 60, 27, 96, 50, 1, 20, 30, 49, 51, 89, 24, 76]",613
