vertices,edges,Density,Comparisons,Divisions,Additions,Solutions,Time,resposta,peso
1,0,50,2,0,1,1,0.0,[0],28
2,0,50,11,0,1,3,0.0,"[0, 1]",108
3,1,50,43,0,3,7,0.0,"[0, 2]",112
