vertices,edges,Density,Comparisons,Divisions,Additions,Solutions,Time,resposta,peso
1,0,0,20011,0,2,0,0.010184049606323242,[0],58
2,0,0,20110,0,3,0,0.030002117156982422,"[0, 1]",74
3,0,0,40209,0,7,0,0.06400251388549805,"[0, 1, 2]",99
4,0,0,60842,0,25,0,0.09148192405700684,"[1, 2, 3, 0]",131
5,0,0,84605,0,121,0,0.17852377891540527,"[1, 3, 0, 2, 4]",159
6,0,0,129786,0,721,0,0.24322748184204102,"[1, 3, 5, 2, 0, 4]",213
7,0,0,380475,0,5041,0,0.3809950351715088,"[1, 5, 3, 6, 2, 0, 4]",228
8,0,0,2336822,0,33218,0,0.8873703479766846,"[3, 5, 7, 1, 0, 2, 6, 4]",313
9,0,0,6122876,0,71774,0,1.7107691764831543,"[3, 7, 1, 4, 0, 6, 5, 8, 2]",322
10,0,0,9256173,0,88889,0,2.4848735332489014,"[3, 7, 9, 4, 0, 6, 1, 5, 8, 2]",390
11,0,0,12507809,0,99876,0,3.08827805519104,"[3, 7, 10, 1, 4, 9, 5, 8, 0, 6, 2]",483
12,0,0,16334202,0,109993,0,3.8867764472961426,"[3, 7, 11, 8, 1, 4, 10, 5, 9, 0, 6, 2]",580
13,0,0,20890059,0,119999,0,4.7880189418792725,"[3, 11, 7, 12, 8, 1, 4, 10, 5, 9, 0, 6, 2]",650
14,0,0,26303237,0,130001,0,5.853326797485352,"[3, 11, 7, 13, 8, 1, 2, 9, 5, 10, 6, 4, 0, 12]",668
15,0,0,32758024,0,140001,0,7.062866449356079,"[3, 11, 7, 14, 8, 1, 2, 13, 5, 12, 9, 10, 6, 0, 4]",715
16,0,0,41451092,0,150001,0,8.933730125427246,"[13, 10, 15, 8, 11, 1, 4, 9, 7, 3, 6, 14, 2, 5, 12, 0]",760
17,0,0,51020165,0,160001,0,10.568130731582642,"[7, 2, 12, 10, 13, 0, 15, 14, 16, 9, 6, 4, 11, 1, 3, 8, 5]",820
