vertices,edges,Density,Comparisons,Divisions,Additions,Solutions,Time,resposta,peso
1,0,25,20002,0,10001,0,0.039009809494018555,[0],58
2,0,25,50230,0,10001,0,0.05500221252441406,"[0, 1]",74
3,0,25,200535,0,20001,0,0.1340029239654541,"[0, 1, 2]",99
4,1,25,260705,0,10072,0,0.14200353622436523,"[1, 0, 3]",106
5,2,25,321000,0,2002,0,0.15000057220458984,"[4, 0, 3]",118
6,3,25,381181,0,1026,0,0.17600560188293457,"[0, 4, 5]",140
7,5,25,151520,0,508,0,0.07200169563293457,"[0, 5]",112
8,7,25,992918,0,3428,0,0.37399983406066895,"[3, 5, 4, 1]",130
9,9,25,1113371,0,1951,0,0.3840029239654541,"[8, 2, 3, 5]",120
10,11,25,2045208,0,3345,0,0.6749980449676514,"[8, 4, 5, 6, 3]",138
11,13,25,2251209,0,2046,0,0.7500064373016357,"[8, 5, 1, 3, 2]",136
12,16,25,1487670,0,682,0,0.6339709758758545,"[8, 10, 6, 4]",145
13,19,25,1625236,0,353,0,0.6959996223449707,"[5, 1, 10, 8]",172
14,22,25,1783292,0,802,0,0.6900019645690918,"[4, 8, 5, 9]",159
15,26,25,1986332,0,338,0,0.6499993801116943,"[5, 4, 8, 14]",138
16,30,25,1228032,0,35,0,0.4060041904449463,"[6, 9, 14]",130
17,34,25,2603579,0,124,0,0.8119974136352539,"[1, 11, 3, 6]",160
18,38,25,2896347,0,11,0,1.193002462387085,"[17, 4, 9, 14]",195
19,42,25,4625511,0,248,0,1.6639904975891113,"[8, 6, 16, 3, 14]",163
20,47,25,4932855,0,102,0,1.5066556930541992,"[11, 2, 1, 15, 6]",198
21,52,25,3394335,0,13,0,1.061558485031128,"[2, 9, 20, 3]",129
22,57,25,5365957,0,80,0,1.6451091766357422,"[3, 8, 2, 16, 20]",130
23,63,25,5722586,0,65,0,1.8130097389221191,"[16, 3, 8, 20, 2]",130
24,69,25,8536640,0,174,0,2.7201802730560303,"[20, 6, 16, 9, 3, 13]",197
25,75,25,4339870,0,14,0,1.4501073360443115,"[13, 8, 3, 9]",127
26,81,25,7316260,0,23,0,2.156001091003418,"[5, 13, 1, 11, 2]",210
27,87,25,9693994,0,39,0,2.931002616882324,"[1, 20, 22, 16, 17, 8]",179
28,94,25,6866550,0,49,0,1.9910032749176025,"[2, 14, 20, 22, 8]",123
29,101,25,7416483,0,35,0,2.1410014629364014,"[1, 22, 18, 8, 20]",107
30,108,25,8513087,0,29,0,2.4470016956329346,"[22, 20, 8, 17, 14]",150
31,116,25,10988002,0,176,0,3.1071062088012695,"[29, 25, 2, 6, 21, 1]",160
32,124,25,8238257,0,30,0,2.364000082015991,"[2, 20, 6, 26, 29]",115
33,132,25,8007289,0,27,0,2.322010040283203,"[8, 3, 18, 16, 1]",157
34,140,25,9910936,0,17,0,2.857985019683838,"[10, 6, 31, 32, 2, 8, 1, 18]",259
35,148,25,13455464,0,45,0,3.789029836654663,"[8, 1, 34, 4, 2, 16]",173
36,157,25,12768860,0,63,0,3.6169986724853516,"[20, 3, 22, 35, 21, 1]",144
37,166,25,9539062,0,14,0,2.79699969291687,"[10, 1, 7, 35, 6]",244
38,175,25,13418243,0,65,0,3.806999683380127,"[8, 35, 13, 3, 2, 20]",123
39,185,25,13950773,0,44,0,3.9719953536987305,"[27, 35, 6, 14, 8, 21]",150
40,195,25,16364487,0,48,0,4.623001337051392,"[38, 8, 29, 27, 21, 2]",131
41,205,25,19854767,0,220,0,5.471999883651733,"[8, 20, 2, 26, 35, 32, 6]",139
42,215,25,15344694,0,44,0,4.3649961948394775,"[30, 29, 8, 1, 18, 6]",158
43,225,25,16616324,0,27,0,4.812984466552734,"[21, 38, 3, 41, 6, 2]",139
44,236,25,13373575,0,18,0,4.2300026416778564,"[18, 19, 20, 1, 32]",166
45,247,25,16314458,0,51,0,4.719003200531006,"[29, 18, 21, 2, 6, 32]",141
46,258,25,17333481,0,34,0,4.927000999450684,"[44, 21, 16, 38, 35, 1]",157
47,270,25,17521314,0,39,0,5.0130250453948975,"[8, 41, 26, 38, 21, 29]",147
48,282,25,18532059,0,26,0,5.258000612258911,"[35, 44, 22, 43, 8, 38, 13]",191
49,294,25,17824404,0,23,0,5.127996921539307,"[14, 22, 3, 21, 1, 29]",183
50,306,25,20287501,0,23,0,6.049997806549072,"[39, 14, 13, 45, 47, 44]",202
51,318,25,20390993,0,23,0,5.902001142501831,"[28, 1, 8, 43, 10, 49]",277
52,331,25,25215248,0,85,0,7.087000608444214,"[50, 38, 49, 6, 47, 40, 21]",164
53,344,25,18771866,0,29,0,5.486999750137329,"[35, 1, 38, 12, 49, 48]",181
54,357,25,26380535,0,60,0,7.434999942779541,"[39, 21, 48, 20, 49, 1, 47]",125
55,371,25,27915790,0,86,0,8.041002035140991,"[49, 42, 27, 1, 41, 48, 39]",181
56,385,25,27162033,0,92,0,7.7219977378845215,"[47, 53, 3, 21, 41, 1, 48]",151
57,399,25,27981949,0,49,0,7.908001184463501,"[20, 17, 49, 38, 13, 39, 6]",175
58,413,25,30376827,0,43,0,8.594999551773071,"[49, 18, 2, 8, 15, 48, 5]",211
59,427,25,29116710,0,37,0,8.24899673461914,"[41, 47, 35, 8, 54, 48, 40]",260
60,442,25,29083891,0,77,0,8.261001825332642,"[0, 47, 20, 39, 8, 18, 6]",174
61,457,25,30622672,0,35,0,8.721993446350098,"[41, 39, 47, 2, 44, 8, 59]",205
62,472,25,31834096,0,42,0,9.079999685287476,"[30, 49, 44, 13, 1, 7, 33]",238
63,488,25,30550415,0,36,0,9.06099796295166,"[13, 4, 28, 0, 30, 16, 1]",305
64,504,25,32399719,0,46,0,9.318999767303467,"[52, 6, 29, 44, 21, 18, 50]",196
65,520,25,32474430,0,32,0,9.414001226425171,"[1, 8, 33, 6, 32, 47, 24]",164
66,536,25,42294850,0,171,0,12.029997110366821,"[17, 47, 44, 53, 49, 8, 21, 5]",193
67,552,25,25338564,0,28,0,7.694988965988159,"[20, 34, 53, 45, 66, 44, 39, 4, 49, 8]",360
68,569,25,33331292,0,40,0,9.83000111579895,"[20, 21, 13, 51, 47, 38, 39]",181
69,586,25,43758761,0,112,0,12.673017740249634,"[47, 55, 23, 25, 32, 35, 20, 2]",265
70,603,25,44567639,0,126,0,13.107999324798584,"[63, 34, 20, 53, 41, 44, 8, 2]",163
71,621,25,38126011,0,34,0,11.39399528503418,"[63, 60, 20, 41, 30, 49, 40]",247
72,639,25,45927544,0,100,0,13.279996156692505,"[27, 52, 44, 32, 3, 65, 21, 6]",217
73,657,25,35641444,0,34,0,10.669999599456787,"[24, 50, 14, 35, 1, 29, 61]",220
74,675,25,39169155,0,32,0,11.85499882698059,"[22, 53, 5, 51, 21, 15, 20]",266
75,693,25,47751109,0,76,0,14.2160005569458,"[50, 60, 44, 20, 47, 2, 1, 65]",127
76,712,25,49869520,0,77,0,14.232003688812256,"[72, 17, 38, 42, 27, 47, 21, 2]",187
77,731,25,49908614,0,75,0,14.103999614715576,"[53, 71, 20, 34, 26, 1, 6, 29]",213
78,750,25,50356612,0,80,0,14.234003782272339,"[6, 1, 43, 72, 38, 51, 32, 24]",274
79,770,25,51022857,0,74,0,14.49399733543396,"[21, 47, 20, 54, 38, 51, 4, 6]",241
80,790,25,51569924,0,74,0,14.849999189376831,"[48, 74, 50, 2, 6, 45, 0, 41]",234
81,810,25,52125166,0,62,0,14.700000286102295,"[18, 29, 21, 51, 15, 44, 79, 61]",267
82,830,25,43186103,0,36,0,12.566996574401855,"[16, 55, 20, 27, 38, 69, 30]",283
83,850,25,56464763,0,58,0,15.969000101089478,"[2, 8, 68, 13, 75, 58, 74, 63]",214
84,871,25,56143723,0,55,0,16.252997159957886,"[72, 49, 43, 38, 47, 6, 53, 2]",194
85,892,25,68833963,0,179,0,19.14699673652649,"[32, 61, 36, 46, 8, 48, 72, 42, 21]",299
86,913,25,59763329,0,47,0,16.993999242782593,"[53, 12, 33, 38, 32, 78, 61, 29]",295
87,935,25,55347413,0,44,0,15.831006050109863,"[83, 6, 72, 86, 41, 15, 10, 0]",318
88,957,25,58657287,0,52,0,17.203001737594604,"[77, 8, 75, 48, 76, 80, 13, 44]",198
89,979,25,58681342,0,45,0,16.92900061607361,"[7, 83, 20, 6, 24, 5, 49, 81]",334
90,1001,25,59728839,0,51,0,17.61503005027771,"[78, 68, 30, 44, 77, 3, 71, 18]",271
91,1023,25,62737168,0,46,0,18.112995147705078,"[38, 47, 36, 17, 14, 42, 86, 24]",346
