vertices,edges,Density,Comparisons,Divisions,Additions,Solutions,Time,resposta,peso
1,0,50,20011,0,2,0,0.03999590873718262,[0],58
2,0,50,20110,0,3,0,0.02799057960510254,"[0, 1]",74
3,1,50,20171,0,6,0,0.027999162673950195,"[1, 0]",74
4,3,50,20291,0,9,0,0.026994705200195312,"[1, 0]",74
5,5,50,20465,0,14,0,0.026999235153198242,"[1, 2]",41
6,7,50,20804,0,9,0,0.026000499725341797,"[5, 4]",82
7,10,50,21086,0,14,0,0.025998830795288086,"[5, 1]",70
8,14,50,21669,0,13,0,0.02700352668762207,"[4, 6]",43
9,18,50,22812,0,18,0,0.02799820899963379,"[8, 3]",41
10,22,50,22970,0,19,0,0.029001235961914062,"[8, 3]",41
11,27,50,24863,0,16,0,0.02900075912475586,"[6, 5]",69
12,33,50,94975,0,424,0,0.06575584411621094,"[6, 8, 1]",40
13,39,50,27484,0,16,0,0.03016352653503418,"[9, 1]",84
14,45,50,144710,0,438,0,0.08535480499267578,"[1, 6, 8]",40
15,52,50,35334,0,16,0,0.03700518608093262,"[14, 12]",117
16,60,50,40685,0,9,0,0.045003652572631836,"[9, 5]",122
17,68,50,278086,0,119,0,0.1491248607635498,"[9, 6, 16]",143
18,76,50,331741,0,397,0,0.15946507453918457,"[1, 6, 8]",40
19,85,50,398164,0,322,0,0.18006014823913574,"[8, 2, 6]",49
20,95,50,468224,0,316,0,0.1878833770751953,"[6, 15, 1]",76
21,105,50,546777,0,545,0,0.2269737720489502,"[20, 8, 6]",28
22,115,50,629971,0,427,0,0.24492120742797852,"[1, 6, 20]",35
23,126,50,713862,0,423,0,0.27585625648498535,"[20, 8, 3]",45
24,138,50,806346,0,384,0,0.2931833267211914,"[6, 22, 20]",57
25,150,50,897503,0,416,0,0.31269216537475586,"[13, 20, 21]",41
26,162,50,993714,0,409,0,0.3489115238189697,"[21, 20, 6]",38
27,175,50,79642,0,14,0,0.05804872512817383,"[14, 20]",51
28,189,50,1181386,0,317,0,0.4035472869873047,"[27, 8, 20]",38
29,203,50,1272515,0,353,0,0.4706234931945801,"[3, 18, 20]",76
30,217,50,1363339,0,202,0,0.46649718284606934,"[27, 8, 20]",38
31,232,50,1453188,0,392,0,0.47365856170654297,"[8, 21, 20]",32
32,248,50,1545784,0,311,0,0.49490880966186523,"[6, 20, 14]",66
33,264,50,152582,0,17,0,0.08335328102111816,"[27, 1, 13, 16]",119
34,280,50,134323,0,18,0,0.07086658477783203,"[13, 6, 1, 2]",74
35,297,50,1812812,0,153,0,0.5658981800079346,"[1, 8, 20]",29
36,315,50,1901672,0,172,0,0.6078252792358398,"[21, 33, 20]",73
37,333,50,2027797,0,152,0,0.6290864944458008,"[8, 27, 20]",38
38,351,50,2079317,0,138,0,0.6653103828430176,"[21, 13, 8]",46
39,370,50,2267299,0,128,0,0.7029523849487305,"[13, 32, 29]",60
40,390,50,2265577,0,158,0,0.7011446952819824,"[38, 27, 20]",51
41,410,50,2357977,0,78,0,0.7408990859985352,"[20, 30, 1]",67
42,430,50,2457515,0,64,0,0.7587392330169678,"[14, 1, 21]",82
43,451,50,2557212,0,130,0,0.8027670383453369,"[32, 20, 39]",62
44,473,50,2618721,0,141,0,0.813065767288208,"[29, 13, 20]",53
45,495,50,2708052,0,87,0,0.847226619720459,"[44, 1, 22]",59
46,517,50,2778941,0,55,0,0.8681595325469971,"[29, 6, 8]",55
47,540,50,2885106,0,112,0,0.891995906829834,"[21, 20, 1]",39
48,564,50,2952932,0,57,0,0.9317793846130371,"[39, 35, 8]",91
49,588,50,3106247,0,51,0,0.9698693752288818,"[21, 29, 1]",66
50,612,50,3403710,0,43,0,1.0646679401397705,"[8, 48, 1]",46
51,637,50,3228696,0,56,0,1.006225824356079,"[27, 1, 47]",42
52,663,50,3296590,0,38,0,1.0220744609832764,"[5, 8, 20]",67
53,689,50,3405506,0,40,0,1.0764155387878418,"[38, 47, 6]",38
54,715,50,3743907,0,40,0,1.1994402408599854,"[26, 48, 8]",70
55,742,50,3649490,0,37,0,1.1532585620880127,"[18, 30, 25]",141
